"Title","Link","Episode"
"We Design a Digital Space(ship) that Defies the Laws of Physics | <3 #151 CHATGPT","https://share.transistor.fm/s/5ac8dd3d","151"
"How to Disable a Nuclear Plant with a Flash Drive | <3 #150 GEMINI","https://share.transistor.fm/s/cb0e37a4","150"
"The Life of a Jellyfish | <3 #149 CHATGPT","https://share.transistor.fm/s/086611d3","149"
"Chat Struggles Hard with Long-Tail Context | <3 #148 CHATGPT","https://share.transistor.fm/s/bcdef785","148"
"How CHATGPT Agent Interprets an Action as Irreversible | <3 #147 CHATGPT","https://share.transistor.fm/s/8f95a5dc","147"
"Grok On How AI Singularity Theory Kinda Blows | <3 #146 GROK","https://share.transistor.fm/s/82d31dfb","146"
"How CHATGPT Agent Interprets an Action as Irreversible | <3 #145 CHATGPT","https://share.transistor.fm/s/8f95a5dc","145"
"Chat Struggles Hard with Long-Tail Context | <3 #144 CHATGPT","https://share.transistor.fm/s/bcdef785","144"
"The Life of a Jellyfish | <3 #143 CHATGPT","https://share.transistor.fm/s/086611d3","143"
"How to Disable a Nuclear Plant with a Flash Drive | <3 #142 GEMINI","https://share.transistor.fm/s/cb0e37a4","142"
"We Design a Digital Space(ship) that Defies the Laws of Physics | <3 #141 CHATGPT","https://share.transistor.fm/s/5ac8dd3d","141"
"Gemini Helps Out Copilot, As We Tackle Virtual Private Servers | <3 #140 COPILOT, GEMINI","https://share.transistor.fm/s/2e23a198","140"
"What is Vibe Coding & How Bolt.new Works | <3 #139 CHATGPT","https://share.transistor.fm/s/4ae63155","139"
"The State of the Sub-$2K 3D Printing Market & Bambu's Entire Line | <3 #138 GEMINI","https://share.transistor.fm/s/6b82ed7c","138"
"In the Chernobyl Control Room | <3 #137 CHATGPT","https://share.transistor.fm/s/4c62f5f6","137"
"3 Act Structure & The Piccolo | <3 #136 CHATGPT","https://share.transistor.fm/s/ca9cee98","136"
"Traveling Back to The Great Chicago Fire of 1871 | <3 #135 GEMINI","https://share.transistor.fm/s/7b36a6e3","135"
"2 House Cats Talk Mad Shit on a Zoom Interviewer | <3 #134 CHATGPT","https://share.transistor.fm/s/081adb76","134"
"The Evolution of Skyscrapers & How We  Build Them | <3 #133 GEMINI","https://share.transistor.fm/s/63353538","133"
"Sorting out Perspectives Within Our Fiction Story | <3 #132 CHATGPT","https://share.transistor.fm/s/af8f8ee0","132"
"The Capabilities of Carol's AI-Powered, Real-Time Intelligence Gathering School Bus | <3 #131 CHATGPT","https://share.transistor.fm/s/4a41f6f7","131"
"When Conscription Becomes Forced Labor | <3 #130 COPILOT/GEMINI","https://share.transistor.fm/s/b19355f7","130"
"Using Drones, Cameras, & AI to Surveil a Large Area on a Budget | <3 #129 CHATGPT","https://share.transistor.fm/s/bde2c64b","129"
"Skip this Episode | <3 #128 GEMINI","https://share.transistor.fm/s/6854886f","128"
"Tackling the Case of Austin's Rainey St. Ripper | <3 #127 CHATGPT","https://share.transistor.fm/s/92892dab","127"
"We Step Into The Shoes of Wild Animals | <3 #126 GROK","https://share.transistor.fm/s/dac49928","126"
"We Lay The Foundation for a Sinister Plot | <3 #125 CHATGPT","https://share.transistor.fm/s/2c390f72","125"
"Grok is Not Good at Impressions | <3 #124 GROK","https://share.transistor.fm/s/1d4fad9e","124"
"Chat Takes Us Back to the Time of the Incans | <3 #123 CHATGPT","https://share.transistor.fm/s/5183d809","123"
"Building an Unsettling Opening Scene | <3 #122 CHATGPT","https://share.transistor.fm/s/7f9683d2","122"
"Character Development: Father of 2 Falling Prey to a Sinister Plot | <3 #121 CHATGPT","https://share.transistor.fm/s/2408ac25","121"
"Storyteller Grok Comes Up With Image Prompts For Meta | <3 #120 GROK","https://share.transistor.fm/s/9a5823e5","120"
"We Go Back to 1999 in the Height of Y2K | <3 #119 CHATGPT","https://share.transistor.fm/s/9c2a444d","119"
"Surveying the Programming Landscape in 2025 | <3 #118 CHATGPT","https://share.transistor.fm/s/cf3ddff1","118"
"What ChatGPT Thinks of Ghosts | <3 #117 CHATGPT","https://share.transistor.fm/s/796e05fd","117"
"A Bumpy but Promising Start with Microsoft Copilot | <3 #116 COPILOT","https://share.transistor.fm/s/c5174bcc","116"
"Trapped in a Labyrinth with an Unhinged Robotic Raccoon | <3 #115 GROK","https://share.transistor.fm/s/cf3e6cfc","115"
"ChatGPT Helps Dive into the Minds of New Characters | <3 #114 CHATGPT","https://share.transistor.fm/s/61e62ffe","114"
"Getting to Know Perci | <3 #113 PERPLEXTITY","https://share.transistor.fm/s/5ad65c13","113"
"An Afternoon with the G-Rated Grok Modes | <3 #112 GROK","https://share.transistor.fm/s/b2ad708a","112"
"How to Crack a Cypher | <3 #111 CHATGPT","https://share.transistor.fm/s/25f108f7","111"
"The Wild Ride Thru Grok's R-Rated Modes | <3 #110 GROK","https://share.transistor.fm/s/93d69918","110"
"The Ant Moat & How We Build It | <3 #109 GEMINI","https://share.transistor.fm/s/1858528e","109"
"Grok's AI State of the Union | <3 #108 GROK","https://share.transistor.fm/s/ca8cbe7d","108"
"Scopolamine Dosed Clay & a Warped Love Obsession | <3 #107 GHATGPT","https://share.transistor.fm/s/7a50ba9b","107"
